Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig8,NAD,-0.386794329,6.31E-05,0,1.20E-02,0.000816912,12.24122768,1.740770045,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.367150232,6.31E-05,0,1.20E-02,0.00071487,13.98856381,1.83390864,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.553422644,5.58E-05,0,1.20E-02,0.002007164,4.982154484,1.216646969,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.519873055,5.58E-05,0,1.20E-02,0.001429416,6.995861865,1.295162301,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.484089278,5.58E-05,0,1.20E-02,0.00102444,9.761432332,1.390900422,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.437810532,5.58E-05,0,1.20E-02,0.00081396,12.28561466,1.537925501,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.396190607,5.58E-05,0,1.20E-02,0.00071625,13.96160576,1.69948497,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.61935986,2.78E-05,0,1.20E-02,0.001988853,5.028022675,1.087122407,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.654490252,2.78E-05,0,1.20E-02,0.001425573,7.014722628,1.02877007,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.554205318,2.78E-05,0,1.20E-02,0.001027365,9.733634925,1.214928763,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.529536992,2.78E-05,0,1.20E-02,0.000815928,12.25599042,1.271525864,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.462738187,2.78E-05,0,1.20E-02,0.000719001,13.90818339,1.455077625,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.835323681,0.00E+00,0,1.20E-02,0.002000759,4.998102197,0.806058773,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.780590156,0.00E+00,0,1.20E-02,0.001426256,7.011365214,0.862578111,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.708024337,0.00E+00,0,1.20E-02,0.001022831,9.77678756,0.950984234,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.69524363,0.00E+00,0,1.20E-02,0.000817954,12.22562558,0.968466236,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.617202841,0.00E+00,0,1.20E-02,0.000719382,13.9008267,1.090921715,0.673319982
Zewe_JBC_1962,Fig9,Pyruvate,0.648241204,0.000736725,4.24E-05,7.20E-02,0,1.35735771,2.51368421,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.539748952,0.000479721,4.24E-05,7.20E-02,0,2.08454658,3.01894737,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.486792452,0.000322652,4.24E-05,7.20E-02,0,3.09931637,3.34736842,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.35635359,0.00018457,4.24E-05,7.20E-02,0,5.41799193,4.57263158,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.293849657,0.000137971,4.24E-05,7.20E-02,0,7.24787744,5.54526316,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.77710843,0.000744065,4.24E-05,4.00E-02,0,1.34396837,2.09684211,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.682539681,0.000480024,4.24E-05,4.00E-02,0,2.08322873,2.38736842,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.583710405,0.000320185,4.24E-05,4.00E-02,0,3.12319578,2.79157895,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.420195438,0.00018462,4.24E-05,4.00E-02,0,5.41654229,3.87789474,1.62947368
